day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	12
1	6	17
1	7	19
1	8	23
1	9	28
1	10	34
1	11	41
1	12	41
1	13	41
1	14	43
1	15	47
1	16	49
1	17	49
1	18	49
1	19	49
1	20	50
1	21	50
1	22	52
1	23	52
1	24	52
1	25	56
1	26	58
1	27	58
1	28	59
1	29	59
1	30	60
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	6
2	9	8
2	10	10
2	11	13
2	12	13
2	13	13
2	14	13
2	15	14
2	16	17
2	17	21
2	18	22
2	19	22
2	20	22
2	21	22
2	22	23
2	23	23
2	24	24
2	25	24
2	26	29
2	27	30
2	28	31
2	29	31
2	30	33
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	1
3	7	1
3	8	1
3	9	1
3	10	2
3	11	3
3	12	3
3	13	3
3	14	4
3	15	4
3	16	4
3	17	6
3	18	7
3	19	7
3	20	7
3	21	7
3	22	7
3	23	7
3	24	8
3	25	8
3	26	12
3	27	12
3	28	15
3	29	16
3	30	19
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	3
4	16	5
4	17	8
4	18	9
4	19	9
4	20	9
4	21	9
4	22	9
4	23	9
4	24	9
4	25	10
4	26	12
4	27	12
4	28	13
4	29	14
4	30	24
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
5	25	1
5	26	4
5	27	4
5	28	4
5	29	4
5	30	9
